,year of founding,Internet Activity Score,Focus functions of company,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Amount,Country of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Renown score,Market Research,Marketing,Analytics,Software Development,Mobile,Enterprise Software,Media,Cloud Computing,Network / Hosting / Infrastructure,Social Networking,Retail,Entertainment,Healthcare,Energy,Search,Food & Beverages,Music,Publishing,Gaming,Email,Career / Job Search
102,2010,-34.0,security,16.0,7.0,No,1/1/2010,5000000.0,Switzerland,0,1,2,0,4,No,0,medium,No,Small,Yes,Yes,No,No,Product,No,Both,No,Both,No,Platform,global,Linear,Yes,Few,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Medium,Bachelors,Computers,Yes,Yes,Tier_2,500,Medium,0,0,0,Medium,0,None,17,Medium,High,No,No,Medium,,No,No,Yes,Yes,No,No,,10080538,Yes,Yes,No,4.0,High,0,16.6,5,Not Applicable,47,47,,,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2009,-26.0,service,,,No,9/17/2009,50000.0,United Kingdom,1,0,1,0,1,,0,low,No,Medium,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,,Platform,global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Offline,B2B,Low,Low,Yes,Medium,Masters,Media,Yes,Yes,Tier_1,500,High,1,0,0,Medium,0,None,0,Medium,Medium,No,No,Medium,,No,No,Yes,No,No,No,Low,,Yes,Yes,,3.0,Medium,3,12.5,0.05,Not Applicable,1,1,Trough,2 to 5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2009,265.0,service,13.0,8.0,No,11/5/2009,500000.0,United Kingdom,2,1,0,1,7,,0,high,No,Medium,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,Yes,Cloud,,Non-Linear,No,None,No,No,No,No,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Masters,MBA,No,No,Tier_1,500,Low,0,0,0,Medium,196,Many,16,Low,Medium,No,No,Low,,No,No,No,No,Yes,No,Low,302399,No,No,No,2.0,Low,15,2.5,0.5,Not Applicable,4,10.24444444,Trough,2 to 5,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2012,-2.0,marketing,,,No,4/20/2012,50000.0,United Kingdom,3,0,1,0,2,,0,Nothing,No,Small,Yes,No,No,No,Service,Yes,no,No,not applicable,,Cloud,,Linear,No,None,No,No,No,No,No,No,No,Yes,No,No,Online,B2B,Low,Medium,No,Medium,Bachelors,Law,No,Yes,None,175,Low,0,0,0,None,1,None,11,Low,Low,No,No,Low,,No,No,No,No,No,No,,117309,Yes,No,No,3.0,Medium,5,10,0.05,Not Applicable,6,6,,,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2008,98.0,operation,12.0,9.0,No,1/1/2008,100000.0,United States,3,0,3,2,5,No,1,medium,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,No,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,No,No,Yes,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,Nutrition and Sociology ,Yes,Yes,None,500,High,0,0,0,Medium,5,None,48,High,Medium,Yes,No,Low,,No,Yes,No,No,No,No,Low,915558,No,Yes,No,3.0,Medium,0,3,0.1,Yes,40,2.566666667,Peak,2 to 5,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,2011,338.0,"Marketing, Sales",12.0,9.0,No,1/1/2011,175000.0,United States,22,0,2,0,2,Yes,2,low,Yes,Large,Yes,Yes,No,Yes,Service,Yes,Private,No,Both,No,Cloud,Global,Linear,No,Few,No,No,No,Yes,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,High,Masters,Business management,Yes,Yes,Tier_2,500,High,1,0,0,Low,3,None,19,Medium,Medium,No,No,Low,,No,No,Yes,No,No,No,Low,431282,Yes,No,Yes,2.0,Low,0,3.333333333,0.175,Not Applicable,6,6.483333333,Trough,2 to 5,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2010,-46.0,Marketing,,,No,,,United States,1,0,1,0,3,No,0,medium,No,Small,Yes,Yes,No,No,Product,No,Public,Yes,Structured,Yes,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,None,High,Yes,High,Masters,Physocology & Human behavior,Yes,Yes,None,,High,0,0,0,Low,21,None,25,Medium,High,Yes,No,Low,,No,Yes,No,No,No,No,Low,1370603,Yes,Yes,No,5.0,High,0,2,0.81,Not Applicable,12,1.242857143,Slope,2 to 5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2010,16.0,Research,4.0,,No,4/1/2010,,United States,1,0,0,0,3,No,0,Nothing,No,Small,Yes,No,No,Yes,Service,No,Public,Yes,Both,No,Cloud,Local,Non-Linear,No,,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Masters,Theatre and Music,Yes,Yes,Tier_1,500,High,0,0,0,Low,1,None,22,,Medium,,No,,,No,No,Yes,No,No,No,Low,12799600,Yes,,No,3.0,Medium,0,12,unknown amount,Not Applicable,2,2,Slope,2 to 5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2010,361.0,"operations, sales, marketing",8.0,0.0,No,8/1/2010,500000.0,United States,3,0,2,1,5,No,0,low,No,Medium,No,No,No,No,Both,Yes,Private,Yes,Structured,No,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,No,Yes,No,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,Electrical Engineering ,Yes,Yes,Tier_1,500,High,0,0,0,Low,0,None,13,Medium,Medium,Yes,No,Low,,No,Yes,Yes,No,No,No,High,91162,No,Yes,No,3.0,Medium,5,2,0.5,Not Applicable,4,4,,,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2012,98.0,operations,17.0,,No,2/1/2012,,United States,5,0,3,4,4,No,0,low,No,Large,Yes,Yes,No,No,Both,No,Public,No,Both,No,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Masters,Mechatronics,Yes,Yes,Tier_2,500,High,0,0,0,High,28,None,57.5,High,Medium,Yes,No,Low,Good,Yes,Yes,Yes,No,No,No,Low,1752170,Yes,Yes,No,4.0,High,0,7,unknown amount,Not Applicable,6,6,Trough,2 to 5,6,,,,,,,,,,,,,,,,,,,,,
112,2010,,research,,,No,,,,4,0,0,0,3,No,0,medium,No,Small,Yes,Yes,No,No,Product,Yes,Both,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Online,B2B,None,High,Yes,Medium,Masters,Management,Yes,Yes,Tier_2,,Low,0,0,0,High,0,None,23.5,Medium,Medium,Yes,No,Low,,Yes,Yes,Yes,No,No,No,,544030,Yes,No,No,3.0,Medium,0,3,1,Not Applicable,12,12,Trigger,2 to 5,0,,,,,,,,,,,,,,,,,,,,,
113,2012,161.0,Marketing & Sales,21.0,5.0,No,1/1/2012,1100000.0,United States,8,0,0,0,4,No,0,low,Yes,Large,No,No,No,Yes,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Online,B2B,Medium,Medium,Yes,High,Masters,Entrepreneurship & Innovation ,Yes,Yes,Tier_1,500,High,0,0,1,None,2,None,25,Medium,Medium,Yes,No,Low,Good,No,No,Yes,No,No,No,Low,6864799,Yes,Yes,No,3.0,Medium,0,12,1.1,Not Applicable,10,10,Trigger,5 to 10,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2009,230.0,Marketing & Sales,8.0,0.0,No,1/1/2009,650000.0,United States,6,0,1,2,4,No,0,low,Yes,Large,No,No,No,No,Both,Yes,Public,Yes,Both,No,Platform,Global,Non-Linear,Yes,Few,No,No,No,Yes,No,No,Yes,No,Yes,No,Both,B2B,Medium,Medium,Yes,Low,Bachelors,Computer Science,Yes,Yes,Tier_1,500,Low,0,1,0,Low,1,None,16.5,Medium,Medium,Yes,No,Medium,,No,No,Yes,No,No,No,Low,64262,Yes,Yes,Yes,3.0,Medium,0,2.75,0.65,Not Applicable,1,12,Trigger,5 to 10,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2013,,operations,,,No,,,,1,0,0,0,3,No,0,low,Yes,Large,Yes,Yes,No,Yes,Product,Yes,Public,Yes,Both,Yes,Platform,Global,Non-Linear,No,Few,Yes,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,Economics,No,Yes,None,,High,0,0,0,None,0,None,6.5,Medium,Medium,Yes,No,Low,,No,Yes,No,No,No,Yes,Low,1058457,Yes,No,No,0.0,Low,0,19,0.375,Not Applicable,5,6,Peak,5 to 10,0,,,,,,,,,,,,,,,,,,,,,
116,2011,528.0,"Marketing, Technology, Finance & Accounting, Customer service",12.0,0.0,No,12/1/2011,750000.0,United States,3,0,0,4,4,No,0,low,No,Small,Yes,Yes,No,Yes,Product,Yes,Both,Yes,Both,Yes,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,Yes,Yes,No,Online,B2B,None,High,Yes,High,Masters,"Marketing, Logistics & Distribution",Yes,Yes,None,500,High,0,0,0,None,8,None,14.5,Medium,Medium,Yes,No,Low,,No,Yes,Yes,No,No,Yes,Low,194733,Yes,Yes,No,4.0,High,0,4,0.75,Not Applicable,24,6,Trough,2 to 5,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2009,512.0,operation,14.0,-7.0,No,1/1/2009,17000000.0,United States,0,0,3,0,4,No,0,high,No,Medium,No,No,Yes,Yes,Service,Yes,Private,No,Both,No,Platform,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,Accounting,No,Yes,Tier_1,500,High,0,0,0,Low,1,None,19.5,Medium,Medium,Yes,No,Low,,Yes,No,Yes,No,No,No,High,263431,Yes,No,No,2.0,Low,0,4,17,Not Applicable,45,11.51666667,Trough,2 to 5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2005,78.0,"Computing, training",32.0,7.0,No,5/1/2005,10000000.0,United States,0,0,2,7,5,No,3,medium,No,Small,Yes,No,No,Yes,Both,Yes,Private,No,Structured,No,Cloud,Global,Non-Linear,Yes,Many,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Bachelors,Computer Science,Yes,Yes,Tier_2,500,High,0,0,0,Medium,0,None,35,High,Medium,Yes,No,Low,,No,No,Yes,No,No,No,High,709728,No,No,No,3.0,Medium,0,4,10,Yes,70,10.03333333,Peak,5 to 10,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2008,150.0,marketing,22.0,0.0,No,1/30/2008,3500000.0,United States,1,0,2,1,8,No,0,high,No,,Yes,Yes,No,No,Product,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2C,Medium,High,Yes,Medium,Bachelors,Marketing,Yes,Yes,Tier_2,500,High,0,0,0,Low,0,None,17,High,Low,Yes,No,Low,,Yes,No,Yes,No,No,No,Low,29452,Yes,No,No,3.0,Medium,5,4,3.5,Yes,12,20,Trigger,2 to 5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2012,129.0,marketing,16.0,0.0,No,7/1/2012,1700000.0,United States,0,0,0,0,7,No,0,low,No,Medium,Yes,No,No,No,Product,No,Private,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2C,Low,Medium,Yes,Low,Bachelors,Entertainment,Yes,Yes,Tier_2,500,Low,0,0,0,Low,1,None,22,High,Medium,Yes,No,Low,Bad,No,No,Yes,Yes,No,No,Low,297388,Yes,No,No,3.0,Medium,0,7.5,1.7,Not Applicable,15,15,,,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
121,2010,-4.0,"Operations, marketing",12.0,0.0,No,1/1/2010,7000000.0,United States,1,0,1,0,4,No,0,low,No,Small,Yes,Yes,No,No,Product,No,Private,Yes,Structured,No,Platform,Local,Non-Linear,Yes,Few,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,Economics,Yes,Yes,None,,High,0,0,0,Low,0,None,23,,Medium,Yes,No,Low,,No,No,Yes,No,No,No,High,245871,No,Yes,No,3.0,Medium,0,3,7,Not Applicable,6,9.233333333,Trigger,2 to 5,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
122,2011,29.0,social advertising,5.0,0.0,No,7/5/2011,,United States,0,0,0,4,2,No,0,low,No,Large,Yes,Yes,No,Yes,Product,No,Public,Yes,Both,No,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,East Asian Studies and Economics,Yes,Yes,Tier_1,500,High,0,0,0,Medium,12,None,43.5,Low,Medium,Yes,No,Low,,Yes,No,Yes,No,No,No,Low,2134030,Yes,Yes,No,3.0,Medium,0,3,unknown amount,Not Applicable,1,12,,,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2010,-68.0,Research,35.0,3.0,No,1/1/2010,11000000.0,United States,0,0,3,7,7,No,1,high,No,Medium,Yes,Yes,No,No,Product,No,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Low,High,Yes,High,PhD,Biomedical Enterprise,Yes,Yes,Tier_1,500,High,0,0,0,High,12,None,23,High,Medium,Yes,No,Low,Good,Yes,Yes,Yes,No,No,No,Low,1842172,Yes,Yes,No,4.0,Medium,0,10,11,Not Applicable,12,6.233333333,,,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2011,266.0,operations,37.0,9.0,No,1/1/2011,35000000.0,United States,0,0,2,0,4,No,1,low,Yes,Large,No,No,No,No,Product,Yes,Private,No,Structured,No,Cloud,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,PhD,computer science,Yes,Yes,Tier_1,500,High,1,0,0,High,3,Few,53,High,Medium,Yes,No,Low,Good,Yes,No,Yes,No,No,No,Low,226890,No,Yes,Yes,3.0,Medium,0,13,35,Not Applicable,12,10.27777778,Trigger,2 to 5,5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2011,70.0,"marketing, sales",9.0,13.0,No,1/1/2011,50000.0,United States,0,0,5,0,6,No,0,low,No,Large,Yes,Yes,Yes,Yes,Product,Yes,Both,Yes,Both,No,Platform,Global,Non-Linear,No,Few,No,No,Yes,No,No,No,Yes,No,Yes,No,Both,B2B,Low,High,Yes,High,Masters,"Electrical and Electronics Engineering
Aerospace Engineering",Yes,Yes,None,25,High,0,0,0,High,0,None,36,High,Medium,Yes,No,Low,,No,Yes,Yes,No,No,Yes,Low,4910627,Yes,Yes,No,3.0,Medium,0,4,0.05,Not Applicable,12,5.355555556,Trigger,2 to 5,0,,,,,,,,,,,,,,,,,,,,,
126,2006,113.0,Marketing,138.0,-1.0,Yes,1/1/2006,9400000.0,United States,0,0,1,7,9,No,2,medium,No,Large,Yes,Yes,No,No,Product,Yes,Both,Yes,Both,No,Cloud,Local,Non-Linear,Yes,Few,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Online,B2B,Medium,Medium,Yes,Low,,,,,None,,High,0,0,0,None,0,None,0,High,Medium,Yes,No,Low,Bad,No,Yes,Yes,No,No,Yes,High,408646,Yes,Yes,No,4.0,Medium,8,15,9.4,Yes,12,18.1,Trigger,5 to 10,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2011,147.0,"marketing, sales",11.0,22.0,No,3/21/2011,1700000.0,United States,0,0,2,0,3,No,0,Nothing,No,Medium,Yes,Yes,No,No,Both,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,Masters,General,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,None,14,Medium,Medium,Yes,No,Low,Good,No,No,Yes,No,No,No,Low,1046310,Yes,Yes,No,3.0,Medium,0,4,1.7,Not Applicable,12,4.3,Trough,2 to 5,4,,,,,,,,,,,,,,,,,,,,,
128,,62.0,operation,16.0,,No,,,United States,0,0,1,0,5,No,0,high,No,Small,No,No,No,No,Product,No,Both,No,Both,Yes,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,No,No,Yes,No,Online,B2B,None,High,,,,,,,None,,Medium,0,0,0,None,0,None,0,High,High,Yes,No,Low,Good,No,No,No,No,No,No,High,2352334,Yes,Yes,No,4.0,High,0,12,unknown amount,,6,6,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,1999,150.0,risk,178.0,6.0,Yes,1/1/1999,6100000.0,United States,0,0,0,0,10,No,0,high,No,Large,No,No,No,No,Both,Yes,Both,Yes,Both,No,Platform,Local,Non-Linear,No,Many,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,Masters,Business management,Yes,Yes,Tier_1,439,Low,0,0,0,None,0,Few,13.5,High,Medium,Yes,No,Medium,Good,No,No,Yes,No,No,No,Low,1085205,Yes,Yes,No,3.0,Medium,0,18,6.1,Yes,120,5.344444444,Plateau,0 to 2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2008,429.0,"Marketing, sales",73.0,11.0,No,1/1/2008,16000000.0,United States,0,6,0,0,6,No,3,high,No,,Yes,Yes,No,No,Product,Yes,Both,Yes,Both,No,Platform,Global,Non-Linear,No,Many,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2C,Medium,Medium,Yes,Medium,Masters,General,Yes,Yes,None,500,High,0,0,0,None,0,None,26,High,Medium,Yes,No,Low,Good,,Yes,Yes,Yes,No,No,High,28190,Yes,Yes,No,4.0,Medium,2,14,16,Yes,12,7.306666667,Trigger,5 to 10,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2006,-385.0,"Marketing 
sales",118.0,-6.0,Yes,11/30/2006,13000000.0,United States,0,0,2,0,12,No,1,low,No,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Both,No,Cloud,Global,Non-Linear,No,Few,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,Masters,Earth Sciences,Yes,Yes,Tier_1,500,High,0,0,0,High,2,None,24.5,High,Medium,Yes,No,Low,Good,Yes,Yes,Yes,Yes,No,No,Medium,211794,Yes,Yes,No,3.0,Medium,2,15,13,Yes,20,5.777777778,Trigger,5 to 10,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2012,96.0,Research,10.0,,No,6/26/2012,,Argentina,0,1,3,3,4,No,0,low,No,Medium,Yes,Yes,No,Yes,Product,Yes,Public,Yes,Both,Yes,Platform,Global,Non-Linear,No,Many,No,No,No,Yes,No,No,Yes,Yes,No,No,Online,B2B,None,Medium,Yes,Medium,,,Yes,Yes,None,500,Medium,0,0,0,None,0,None,7.5,High,Medium,Yes,No,Low,,No,No,Yes,No,No,No,Low,1603864,Yes,Yes,No,4.0,High,0,16,unknown amount,Not Applicable,1,1,,,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2010,81.0,data collection ,22.0,5.0,No,10/1/2010,2000000.0,United States,0,2,1,0,8,No,0,low,No,Small,Yes,Yes,No,No,Product,Yes,Public,Yes,Unstructured,No,Platform,Local,Non-Linear,No,Few,No,No,Yes,No,No,No,No,No,Yes,No,Online,B2B,None,High,Yes,Medium,Bachelors,Aquatic biology,Yes,Yes,Tier_2,448,High,0,0,0,Low,0,None,21,High,Medium,Yes,No,Low,,Yes,No,Yes,No,No,No,Low,731564,Yes,No,No,3.0,Medium,4,7.6,2,Not Applicable,1,7.45,Slope,2 to 5,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,2012,627.0,marketing,4.0,0.0,No,7/1/2012,,United States,0,1,1,0,1,No,0,low,No,Small,No,No,No,No,Product,Yes,Private,No,Structured,Yes,Cloud,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,General,Yes,Yes,Tier_2,500,High,0,0,0,Low,6,None,23,Medium,Medium,Yes,No,Low,,No,Yes,Yes,No,No,No,Low,193129,No,Yes,No,3.0,Medium,0,10,unknown amount,Not Applicable,8,8,Slope,0 to 2,4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2004,0.0,"development, marketing, and administration",12.0,9.0,Yes,1/1/2004,62500000.0,United States,0,0,3,1,5,Yes,0,low,No,Medium,Yes,Yes,No,No,Both,No,Private,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,No,No,No,No,Online,B2B,None,High,Yes,Medium,Bachelors,Engineering,No,Yes,Tier_1,500,High,0,0,0,Low,3,None,100,Low,Low,No,No,Low,,No,Yes,Yes,No,Yes,Yes,Medium,,No,Yes,No,3.0,Medium,0,11.11,62.5,No,48,5,,,4,,,,,,,,,,,,,,,,,,,,,
136,2000,0.0,IT & Sales,18.0,0.0,No,1/1/2000,15000000.0,United States,0,0,0,0,8,Yes,0,Nothing,No,Large,Yes,Yes,No,Yes,Product,No,no,No,no,No,Platform,Local,Linear,No,None,No,No,No,No,No,No,No,No,No,No,Offline,B2B,Low,High,Yes,Low,Masters,business,Yes,Yes,Tier_1,500,High,0,1,0,High,0,None,25,Medium,Low,No,Yes,Low,,No,No,No,No,No,No,,,No,Yes,No,2.0,Medium,0,3.8,15,No,60,7.4,Trigger,2 to 5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2004,-445.0,social news,79.0,-2.0,Yes,10/11/2004,5000000.0,United States,0,0,1,0,6,Yes,0,High,Yes,Medium,Yes,Yes,No,No,Product,Yes,Public,No,Unstructured,No,Platform,Global,Non-Linear,No,Few,Yes,No,No,No,No,No,No,No,No,Yes,Online,B2C,High,High,Yes,Medium,Masters,Business Administration,Yes,Yes,Tier_2,500,High,1,0,0,Low,1,None,200,Low,Low,No,No,Low,,No,No,Yes,No,No,Yes,,483,No,No,No,3.0,Medium,28,1.1,5,Yes,12,17.58333333,Peak,2 to 5,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
